,Day,weekday
0,2022-04-27 09:25:37.633555,Wednesday
1,2022-04-26 09:25:37.633555,Tuesday
2,2022-04-25 09:25:37.633555,Monday
3,2022-04-24 09:25:37.633555,Sunday
4,2022-04-23 09:25:37.633555,Saturday
5,2022-04-22 09:25:37.633555,Friday
6,2022-04-21 09:25:37.633555,Thursday
7,2022-04-20 09:25:37.633555,Wednesday
8,2022-04-19 09:25:37.633555,Tuesday
9,2022-04-18 09:25:37.633555,Monday
10,2022-04-17 09:25:37.633555,Sunday
11,2022-04-16 09:25:37.633555,Saturday
12,2022-04-15 09:25:37.633555,Friday
13,2022-04-14 09:25:37.633555,Thursday
14,2022-04-13 09:25:37.633555,Wednesday
