race,workclass,gender,age,hours-per-week
Amer-Indian-Eskimo,?,Female,33.68421052631579,31.789473684210527
Amer-Indian-Eskimo,?,Male,49.0625,38.875
Amer-Indian-Eskimo,Federal-gov,Female,41.526315789473685,37.68421052631579
Amer-Indian-Eskimo,Federal-gov,Male,41.714285714285715,40.92857142857143
Amer-Indian-Eskimo,Local-gov,Female,38.516129032258064,37.516129032258064
Amer-Indian-Eskimo,Local-gov,Male,39.029411764705884,41.0
Amer-Indian-Eskimo,Private,Female,33.83,37.53
Amer-Indian-Eskimo,Private,Male,33.92696629213483,42.168539325842694
Amer-Indian-Eskimo,Self-emp-inc,Female,46.0,40.0
Amer-Indian-Eskimo,Self-emp-inc,Male,42.0,30.0
Amer-Indian-Eskimo,Self-emp-not-inc,Female,38.833333333333336,35.833333333333336
Amer-Indian-Eskimo,Self-emp-not-inc,Male,42.464285714285715,44.464285714285715
Amer-Indian-Eskimo,State-gov,Female,46.55555555555556,41.55555555555556
Amer-Indian-Eskimo,State-gov,Male,41.142857142857146,49.5
Asian-Pac-Islander,?,Female,31.72340425531915,28.617021276595743
Asian-Pac-Islander,?,Male,40.30612244897959,30.877551020408163
Asian-Pac-Islander,Federal-gov,Female,38.529411764705884,41.294117647058826
Asian-Pac-Islander,Federal-gov,Male,42.765957446808514,41.851063829787236
Asian-Pac-Islander,Local-gov,Female,37.0,38.05
Asian-Pac-Islander,Local-gov,Male,43.0,40.205128205128204
Asian-Pac-Islander,Private,Female,35.44021739130435,37.57336956521739
Asian-Pac-Islander,Private,Male,37.635555555555555,40.93925925925926
Asian-Pac-Islander,Self-emp-inc,Female,40.1875,46.75
Asian-Pac-Islander,Self-emp-inc,Male,45.5625,49.520833333333336
Asian-Pac-Islander,Self-emp-not-inc,Female,39.05555555555556,43.27777777777778
Asian-Pac-Islander,Self-emp-not-inc,Male,41.91463414634146,48.71951219512195
Asian-Pac-Islander,State-gov,Female,37.45161290322581,35.225806451612904
Asian-Pac-Islander,State-gov,Male,37.950819672131146,37.131147540983605
Asian-Pac-Islander,Without-pay,Male,67.0,12.0
Black,?,Female,36.1767955801105,33.629834254143645
Black,?,Male,38.675862068965515,32.83448275862069
Black,Federal-gov,Female,40.47933884297521,40.05785123966942
Black,Federal-gov,Male,42.64179104477612,41.37313432835821
Black,Local-gov,Female,41.230088495575224,38.557522123893804
Black,Local-gov,Male,40.14691943127962,40.279620853080566
Black,Never-worked,Female,23.5,30.0
Black,Never-worked,Male,20.0,40.0
Black,Private,Female,37.242310106716886,36.98744507219084
Black,Private,Male,36.75,40.141304347826086
Black,Self-emp-inc,Female,37.666666666666664,36.833333333333336
Black,Self-emp-inc,Male,42.875,53.21875
Black,Self-emp-not-inc,Female,43.10526315789474,38.078947368421055
Black,Self-emp-not-inc,Male,43.142857142857146,42.40816326530612
Black,State-gov,Female,38.90070921985816,38.02836879432624
Black,State-gov,Male,38.888888888888886,39.94949494949495
Black,Without-pay,Male,21.0,40.0
Other,?,Female,28.5,31.45
Other,?,Male,32.63636363636363,34.72727272727273
Other,Federal-gov,Female,32.6,39.0
Other,Federal-gov,Male,34.166666666666664,46.666666666666664
Other,Local-gov,Female,32.4,39.0
Other,Local-gov,Male,38.18181818181818,41.09090909090909
Other,Private,Female,31.482758620689655,36.043103448275865
Other,Private,Male,34.47959183673469,40.62244897959184
Other,Self-emp-inc,Male,40.0,64.5
Other,Self-emp-not-inc,Female,18.0,40.0
Other,Self-emp-not-inc,Male,40.86666666666667,43.53333333333333
Other,State-gov,Female,34.125,42.25
Other,State-gov,Male,38.666666666666664,37.0
White,?,Female,36.52243270189432,29.23928215353938
White,?,Male,44.14908256880734,33.46559633027523
White,Federal-gov,Female,41.96206896551724,39.88620689655173
White,Federal-gov,Male,43.36842105263158,42.43388960205392
White,Local-gov,Female,41.78176229508197,39.1875
White,Local-gov,Male,42.07706885660139,42.3903979785218
White,Never-worked,Female,18.0,10.0
White,Never-worked,Male,19.0,29.833333333333332
White,Private,Female,35.54468265760985,36.38346423264699
White,Private,Male,37.64274053667993,42.46699316396286
White,Self-emp-inc,Female,44.46808510638298,42.21808510638298
White,Self-emp-inc,Male,46.180386542591265,49.308518253400145
White,Self-emp-not-inc,Female,44.724381625441694,36.987632508833926
White,Self-emp-not-inc,Male,45.747840531561465,45.84352159468438
White,State-gov,Female,38.20557491289198,36.56794425087108
White,State-gov,Male,40.494219653179194,40.605009633911365
White,Without-pay,Female,52.857142857142854,32.285714285714285
White,Without-pay,Male,44.583333333333336,36.25
